Perfume;Brand;Gender;Age_Group;Top;Middle;Base
dodo;zoologist-perfumes;unisex;Mature (40+);fern, litchi, lime, raspberry;ambergris, balsam fir, geranium, rose;oakmoss, musk, sandalwood, patchouli, amber
water-ivy;brocard;women;Adult (25-40);watery notes, bergamot, peach;ivy, jasmine, bellflower, peony;white musk, moss
collapse-of-hedonism-krakh-gedonizma;khaikin;unisex;Mature (40+);cognac, smoke, metallic notes;dark chocolate, leather, rose, smoke;dried plum, immortelle, vetiver, texas cedar, ambergris, ash
jamaica-2-woman;puma;women;Adult (25-40);pink grapefruit, melon, peach;violet leaf, jasmine, freesia, plum;patchouli, musk, vanilla
moscow-waltz-moskovskij-val-s;ladanika;unisex;Youth (15-25);raspberry, violet, freesia;damask rose, rose hip, lilac;white musk, iris, patchouli
ume;euphorium-brooklyn;unisex;Mature (40+);plum, plum blossom, green tea, apricot, anise;oakmoss, yuzu, hinoki wood, incense, cedar;snow, earthy notes
musk-makkah;el-nabil;unisex;Youth (15-25);strawberry, raspberry;almond, cinnamon, vanilla;musk, amber
enjoy;franck-boclet;women;Mature (40+);bergamot, lemon, orange;nutmeg, rose, geranium, pepper, violet, cinnamon, jasmine;incense, ambroxan, white musk
cocaine;franck-boclet;unisex;Mature (40+);caramel, tobacco, bitter orange, red berries;tuberose, lily, orchid;monoi oil, vanilla, patchouli
plumes;ds-durga;unisex;Adult (25-40);laurels, watery notes, coconut;frangipani, tuberose, jasmine, vine;vetyver, amyris, musk
le-male-xmas-limited-edition;jean-paul-gaultier;men;Adult (25-40);mint;lavender;vanilla
floratta-in-gold;o-boticario;women;Youth (15-25);peach, pineapple, orchid, neroli;jasmine, heliotrope, lily-of-the-valley;amber, vanille, sandalwood, musk
prada-paradoxe-virtual-flower;prada;women;Adult (25-40);bergamot;jasmine, neroli;musk, ambrette
glacier-ice;oriflame;men;Mature (40+);bergamot, tangerine, apple;cypress, lemongrass, ivy;cedar, oakmoss, guaiac wood
u;adolfo-dominguez;women;Youth (15-25);bergamot, raspberry, black currant, mandarin orange;rose, lily-of-the-valley, freesia, magnolia;sandalwood, patchouli, virginia cedar
alatau;faberlic;women;Adult (25-40);water notes, mint, amalfi lemon, red berries;hyacinth, lily-of-the-valley, violet, orange blossom, wild rose;pine, oak moss, musk, vetiver, orris root, amber, patchouli
walk-of-shame;antonio-maretti;women;Mature (40+);bergamot, pineapple, aldehydes;rose, gardenia;cedar, ambrox super
gisada-donna;gisada;women;Youth (15-25);cotton candy, iris, violet, sicilian bergamot;patchouli, jasmine sambac, benzoin, white peach blossom;musk, sandalwood, coffee, tuberose
mercedes-benz-for-her-fanciful-edition;mercedes-benz;women;Mature (40+);green mandarin, lemon;freesia, jasmine, rose;incense, white musk, frangipani, amberwood
eclat-d-arpege-limited-edition;lanvin;women;Adult (25-40);mandarin orange, bergamot, grapefruit;rose, peach, african orange flower, jasmine;musk, virginia cedar, vetiver, amber
malta;thera-cosmeticos;men;Mature (40+);sea notes, bergamot;rosemary, sage, geranium;incense, patchouli
sagira;spirit-of-kings;unisex;Adult (25-40);grapefruit, peach, mandarin orange, toffee;violet, damask rose, rose, patchouli;musk, moss
eva;eva-longoria;women;Mature (40+);citruses, bergamot, aldehydes, neroli;lily-of-the-valley, violet, freesia, jasmine;musk, sandalwood, amber
cologne-de-la-terre;bortnikoff;unisex;Youth (15-25);bergamot, litsea cubeba, pear;green apple, beeswax, saffron;ambergris, natural musk, sandalwood
scentini-citrus-chill;avon;women;Youth (15-25);blood orange, mandarin orange;guava, passion flower, apple blossom;musk, amber
perle-imperiale;guerlain;unisex;Mature (40+);bergamot;fig, powdery notes;sandalwood, leather, myrrh
banho-de-sorte;o-boticario;women;Adult (25-40);italian lemon, cardamom, pink pepper, ginger, mandarin orange;clove leaf, geranium, violet;moss, patchouli, virginian cedar, sandalwood, amber
x2o-extraordinary-for-women;ted-baker;women;Adult (25-40);grapefruit, star anise;magnolia, mirabelle plum, water lily;precious woods, musk
nafnaf-too;nafnaf;women;Adult (25-40);mango, pear, mandarin orange;peony, jasmine, neroli;patchouli, musk
scent-of-kiss-poplove;armand-basi;women;Adult (25-40);pear, watermelon, bergamot;jasmine, white lily;musk, white wood, cashmeran
lotus-oud;lotus;unisex;Adult (25-40);agarwood (oud), palisander rosewood, cardamom;vetiver, sandalwood;tonka bean, amber
mexx-waterlove-man;mexx;men;Youth (15-25);pineapple, melon, lime, bergamot, apple;violet, lily-of-the-valley, jasmine;peach, precious woods, amber, vanilla
rose;aaron-terence-hughes;unisex;Mature (40+);turkish rose;madagascar vanilla, tonka bean, spices, red berries, lotus, oakmoss;agarwood (oud), musk, patchouli
pm;fragrance-du-bois;unisex;Mature (40+);indian tuberose, floral notes, juniper berries, cardamom, lemon;leather, cedar, orris root, indonesian patchouli leaf;labdanum, woody notes, benzoin, amber
fleurs-d-ombre-bergamote;jean-charles-brosseau;women;Mature (40+);amalfi lemon, bergamot, bitter orange;rosemary, clove, jasmine, heliotrope;oakmoss, patchouli, amber, tonka bean
english-dahlia-fragrance-mist;yardley;women;Youth (15-25);green notes, citruses, apple, neroli, floral notes;rose, peony, dahlia;patchouli, cedar, musk
gin-flower;solstice-scents;unisex;Adult (25-40);juniper berries, lime, citron;black elder, osmanthus, honey, vanilla, apricot, pear;sandalwood
to-be-goodvibes-for-him;police;men;Mature (40+);clary sage, bergamot, black pepper;jasmine, juniper, magnolia;amberwood, tobacco, vetiver
tank-custom-for-him;replay;men;Adult (25-40);elemi, ginger, bergamot, yuzu, cardamom;anise, plum, vetiver, lavender, patchouli, wild jasmine;tonka bean, musk, sandalwood, amber
miel-extase;navitus-parfums;unisex;Youth (15-25);honey, dried fruits, apricot;ginger, violet, rum, saffron;toffee, madagascar vanilla, tonka bean, dark chocolate, caramel
oud-mafia;morph;unisex;Mature (40+);saffron, nutmeg, thyme;oud, incense, gurjan balsam, cistus incanus;orcanox, patchouli, vetiver
santa-casa;filippo-sorcinelli;unisex;Mature (40+);incense, orange, bergamot;sea notes, tobacco, french rose;musk, benzoin, vanilla, sandalwood, ambrette, amber
absolute-woman;bruno-banani;women;Adult (25-40);litchi, pink pepper, pink grapefruit, blackberry, bergamot;rose, marigold, jasmine, orange blossom;cedar, amber, vanilla, moss, patchouli, musk
full-speed-power;avon;men;Adult (25-40);lemon;rosemary;cedar
summer-white-bright;avon;women;Adult (25-40);lemon;lily-of-the-valley;tagetes
outrageous-limited-edition-2017;frederic-malle;unisex;Mature (40+);green apple, grapefruit, lime, cinnamon, mint;neroli, orange blossom;aldehydes, musk, ambroxan, cedar
bleu-abysse;les-parfums-de-rosine;unisex;Mature (40+);elemi, bergamot, cassis;mineral notes, rose;algae, vetiver, patchouli, agarwood (oud), incense
amo-ferragamo-oriental-wood;salvatore-ferragamo;women;Youth (15-25);guatemalan cardamom, apple, lemon;rose, saffron, jasmine;resins, musk, vanilla
black-opium-storm-illusion;yves-saint-laurent;women;Adult (25-40);pink pepper, orange blossom, mandarin orange, bergamot, pear;tuberose, licorice, coffee, bitter almond, jasmine sambac;cashmirwood, white musk, vanilla, patchouli, cedar
till-sunrise;zara;men;Adult (25-40);galbanum;cypress;tonka bean
life-is-now-for-her;mexx;women;Adult (25-40);pear, guava, orange;iris, jasmine, white lily;musk, vanilla, cedar
sacromonte;ricardo-ramos-perfumes-de-autor;unisex;Adult (25-40);grass, fig, basil;lily-of-the-valley, plum, jasmine, black amber;hay, white musk, amber
absolument-femme;absolument-parfumeur;women;Adult (25-40);grapefruit, tangerine, bergamot;wormwood, violet, magnolia, spices, cardamom, rose, nutmeg, lily-of-the-valley, ylang-ylang, jasmine;white musk, sandalwood, amber
the-majestic-oud;alexandre-j;unisex;Youth (15-25);black currant, raspberry, apple, bergamot, lemon, melon;patchouli, sage;agarwood (oud), amber, musk
body;kkw-fragrance;women;Adult (25-40);peach, bergamot, pink pepper, green mandarin;jasmine sambac, ylang-ylang, turkish rose;australian sandalwood, musk, haitian vetiver, amber
evolution-de-l-homme-matin;parfums-vintage;men;Youth (15-25);grapefruit, lime, juniper berries, thyme, lemon, pink pepper, artemisia, bergamot;patchouli, cedar, jasmine, black currant, apple, rose, cypriol oil or nagarmotha;ambergris, musk, birch, vanilla
musk-is-great;zimaya;unisex;Adult (25-40);bergamot, mandarin orange;magnolia, black currant;musk, white musk, sandalwood
libeccio;paolo-gigli;women;Youth (15-25);lilac, rose, jasmine, eucalyptus, cyclamen, mint;raspberry, iris, peach;cedar, amber, sandalwood, vanilla
kings-wood;shay-blue-london;unisex;Mature (40+);pineapple;fern, sichuan pepper;oak, leather
stone-supernova-for-him;replay;men;Mature (40+);fruity notes, citruses, lavender, watery notes;cashmere wood, rose, oakmoss;tonka bean, sandalwood, cedar
pussy;rammstein;women;Adult (25-40);animal notes, pomelo, hyacinth;tuberose, jasmine;transparent woods, palisander rosewood
up-to-you-for-her;avon;women;Mature (40+);peach, mandarin orange, freesia;magnolia, peony, lily-of-the-valley;sandalwood, leather, cedar
viva-by-fergie;avon;women;Adult (25-40);green notes, bergamot;lavender, mint, narcissus;vetiver, woody notes, white musk
incandessence-flame;avon;women;Adult (25-40);pink pepper;gardenia, jasmine;musk
defy;calvin-klein;men;Adult (25-40);bergamot, lavender;vetiver;amber
zafferano-collector-edition;acqua-di-parma;unisex;Adult (25-40);bitter orange, mandarin orange, coriander, bergamot;saffron, geranium, rose, orange blossom, jasmine sambac;vanilla, patchouli, tonka
aqua-universalis-cologne-forte;maison-francis-kurkdjian;unisex;Youth (15-25);bergamot;sweet pea, mock orange;white musk
mango-manga;montale;unisex;Adult (25-40);mango, orange;ylang-ylang, jasmine, neroli;agarwood (oud), oak moss, vetyver, virginia cedar
intensa;natura;women;Youth (15-25);apple, citruses;floral fruity notes;musk
xtreme-xplosion;o-boticario;men;Adult (25-40);cardamom, cinnamon, mandarin orange, bergamot;mimosa, jasmine, sage, sandalwood;vanille, musk, amber, virginia cedar
alaska;axe;men;Youth (15-25);bergamot, grapefruit, pineapple, melon;lavender, jasmine;sandalwood, amber
intense;faberlic;men;Mature (40+);juniper, green notes;violet, cardamom, mint, jasmine;woody notes, oakmoss
oh-my-deer;baruti;unisex;Mature (40+);black pepper, sichuan pepper, aldehydes;metallic notes, lily-of-the-valley;animal notes, incense, musk, amber, vanilla
citrus-paradisi-cologne;czech-speake;unisex;Mature (40+);grapefruit, spices, green notes;oakmoss, coriander, pepper;patchouli, amber
kashaf;ajmal;unisex;Youth (15-25);rose;black currant, raspberry, saffron;agarwood (oud), musk, sandalwood
cassandra-bleu;jeanne-arthes;women;Mature (40+);bergamot;ylang-ylang, rose;civetta, musk
fairy-dust;paris-hilton;women;Adult (25-40);peony, orange blossom;gardenia, peach, lotus;musk, vanilla, patchouli
luxurious-peony;pokrovka-trading-house;women;Adult (25-40);peony, lemon, litchi;rose, pink pepper, freesia;ambrette (musk mallow), vetiver, patchouli
chocolate-wasted;haught-parfums;unisex;Adult (25-40);dark chocolate, cacao pod;rum, coffee, brown sugar;bourbon vanilla, styrax, tonka bean, labdanum
inspire;ellen-tracy;women;Mature (40+);honeysuckle, cyclamen, jasmine, gardenia, peony, carnation, violet;lily-of-the-valley, lemon, bergamot, melon;musk, sandalwood
black-mafia;bybozo;unisex;Mature (40+);green notes;woody notes, tobacco, coffee;incense
musk-al-ghazal;al-rehab;unisex;Adult (25-40);lavender, chrysanthemum, hibiscus seed;geranium, ambrette (musk mallow);black musk, almond, galbanum
juice;commodity;unisex;Youth (15-25);violet leaf, raspberry, strawberry;bulgarian rose, cyclamen;rhubarb, amberwood
mon-petit;lolita-lempicka;unisex;Youth (15-25);marshmallow, anise;lime (linden) blossom, freesia, orange blossom;confetti (sugared almonds), white musk
dark-wash;zara;men;Adult (25-40);sesame;watery notes;sandalwood
mustang-for-men-eau-de-toilette;mustang;men;Adult (25-40);grapefruit, lemon zest, tarragon;lavender, mint, galbanum;musk, sandalwood, patchouli
for-woman;bi-es;women;Youth (15-25);pink pepper, apple blossom;freesia, jasmine, rose;musk, sandalwood, cedar
vamp-black;pupa;women;Adult (25-40);cinnamon, rose, black pepper;wild berries, jasmine, labdanum, sandalwood;patchouli, vanilla, musk, amber
uefa-champions-league-dare-edition;adidas;men;Adult (25-40);mint, sicilian bergamot, elemi;cardamom, lavender, african geranium;vetiver, patchouli, balsam fir
almost-a-virgin;antonio-maretti;women;Youth (15-25);red berries, apple, pink pepper;rose, geranium;musk, patchouli, sandalwood
mi-scusi;antonio-maretti;women;Youth (15-25);melon, peach, lemon;rose, orange blossom, raspberry;musk, praline, moss
lemon-island;atelier-cologne;unisex;Adult (25-40);lemon;indian jasmine;madagascar vanilla
cafe-pop;cafe-parfums;women;Adult (25-40);pear, freesia, black currant;peony, jasmine, lily-of-the-valley;musk, sandalwood, amber
no-13-fever;arcadia;unisex;Mature (40+);juniper, pepper, bergamot, lemon;pine tree needles, incense, orris;vanilla, sandalwood, amber
princesse-de-coeur;laurent-mazzone-parfums;women;Mature (40+);aldehydes, carrot, bergamot;rose, iris, amberwood;musk, moss, vetiver
mango-touch;patrice-martin;unisex;Youth (15-25);mango, grapefruit, water notes;peach, raspberry;musk, vanilla
oltre;tonatto-profumi;unisex;Adult (25-40);pine;lily-of-the-valley;seaweed, musk
minsk;thera-cosmeticos;men;Mature (40+);bergamot, mandarin orange, orange;rosemary, pepper, palisander rosewood;musk, woodsy notes, incense
cafe-vert;il-profvmo;women;Adult (25-40);grapefruit, mandarin orange;cyclamen, geranium, jasmine;coffee
sheer-delight;betty-barclay;women;Adult (25-40);italian lemon, mandarin orange, pear;peony, orange blossom, lily-of-the-valley;musk, resins, amber
instinct-forbidden;avon;women;Adult (25-40);lemon peel;red berries, gardenia, violet;tahitian vanilla
today-tomorrow-always-diamond;avon;women;Adult (25-40);hyacinth, african orange flower, stephanotis;narcissus, orchid, arum lily;musk, vetyver, palisander rosewood
quixotic;amway;women;Mature (40+);grapefruit, aldehydes, green notes, geranium, pepper;lemon, jasmine, lily-of-the-valley, apricot, freesia, birch leaf, cardamom, rose;mate, vetyver, sandalwood
jacqueline;gritti;women;Adult (25-40);green almond, mate, green notes;lavender, violet leaves, freesia;musk, vanilla, tonka bean
oud-mood-elixir;lattafa-perfumes;unisex;Adult (25-40);saffron, nutmeg, cinnamon;agarwood (oud), suede, sandalwood;amber, vanilla
the-italian-artists-of-via-solferino;trussardi;unisex;Adult (25-40);yuzu, mate, mineral notes;magnolia, peony, osmanthus, ginger;suede, heliotrope, patchouli
don-t-tell-jasmine;vilhelm-parfumerie;unisex;Adult (25-40);lemon, kir royal;jasmine;musk
friends-world-for-him;oriflame;men;Adult (25-40);clary sage;ivy;tonka bean
in-red-blooming-passion;armand-basi;women;Youth (15-25);red apple, red fruits, rhubarb, mango;jasmine, violet, lily-of-the-valley;white chocolate, white musk, sandalwood, tonka bean
te-verde;adolfo-dominguez;women;Adult (25-40);tea, bamboo, yuzu, mint;african orange flower, cardamom, holly, coriander, freesia;oak moss, guaiac wood, amber
paradise-flowers;bi-es;women;Adult (25-40);black currant, bergamot;jasmine;musk
charmante;faberlic;women;Youth (15-25);black currant, mandarin leaf, orange, pitahaya, pear;rose, jasmine, raspberry;cedar, musk, amber
fortunata;faberlic;women;Youth (15-25);red apple, calabrian mandarin;cherry, orris root, orchid, gardenia, rose;almond, vanilla, tonka bean, patchouli, white musk
mon-roi;faberlic;men;Mature (40+);lavender, mango, pineapple, bergamot, lemon, mandarin orange;fruity notes, mint, violet, cloves, geranium, carnation, jasmine, rose;sandalwood, oakmoss, palisander rosewood, patchouli, cedar
kaori;faberlic;women;Youth (15-25);sea water, black currant leaf, bamboo, bergamot, grapefruit;water lily, cherry blossom, magnolia, tea rose;raspberry, musk, iris, vetiver, amber
amazing;bill-blass;women;Adult (25-40);peach, mandarin orange;water lily, lily-of-the-valley, tuberose, rose;mimosa, musk, sandalwood
realist;contradictions-in-ilk;unisex;Mature (40+);lemon, bergamot, yuzu, pepper;petitgrain, sea notes, cedar, black tea, rose;vetiver, hinoki wood, incense, amber, immortelle
black-lace;dana;women;Adult (25-40);tea, bergamot, red berries;rose, violet, water lily, cyclamen, african orange flower;ebony wood, woodsy notes, sandalwood, lilac
symphonie-d-amour;maissa-parfums;unisex;Youth (15-25);black currant, apple, orange, bergamot, lemon;caramel, white woods, mint, jasmine, anise, green notes;musk, vanilla, amber
bukhoor;thomas-kosmala;unisex;Adult (25-40);woody notes;smoke;agarwood (oud), amber, musk
kasar;teo-cabanel;men;Mature (40+);citruses;saffron, nutmeg, cinnamon;leather, agarwood (oud), labdanum, cedar, patchouli, musk
refocus;m-int;unisex;Mature (40+);aldehydes, incense;patchouli, guaiac wood, cedar;musk, labdanum, suede, sandalwood
fougere;jovoy-paris;men;Mature (40+);lime, basil;pineapple, neroli, geranium;oakmoss, sandalwood, tonka bean
dilis-classic-collection-no-1;dilis-parfum;women;Mature (40+);violet, jasmine, narcissus, lily-of-the-valley, rose, bergamot, peach;aldehydes, rosemary, tuberose;musk, vetiver, civetta, bamboo, tonka bean, amber, sandalwood
